STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
USC00351574,1981-06,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",0.3,0,0.3,",0",4,",0",1,",0",0,",0",0,",0",0,",0",0,",0",6,",0",0,",0",17,",0",0,",0",,,19810614,",,0",19810630,"+,,0",19810630,"+,,0",,,19810608,",,0",19810625,",,0",-3.3,",0,14,",0,",,0,30,+",0,",,0,30,+",7.6,",,0,08,",30,",0,25,",,,178.2,",0",10.4,",,,0",0,",,,0",12.4,",0",21.35,",,,0",3.45,",,,0"
USC00351574,1981-07,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",6.4,0,6.1,",0",2,",0",0,",0",0,",0",0,",0",0,",0",0,",0",1,",0",0,",0",27,",0",2,",0",,,19810707,",,0",19810731,"+,,0",19810731,"+,,0",1,,19810705,",,0",19810705,"+,,0",0,",0,07,",0,",,0,31,+",0,",,0,31,+",1.8,",,0,05,",32.2,",0,05,+",111.7,0,111.7,",0",2.8,",,,0",0,",,,0",14.93,",0",25.73,",,,0",4.12,",,,0"
USC00351574,1981-08,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",28.3,0,21.9,"1,0",0,",0",0,",0",0,",0",0,",0",0,",0",0,"1,0",0,"1,0",0,",0",31,",0",6,",0",,,19810827,"+,1,0",19810831,"+,,0",19810831,"+,,0",1,,19810802,",,0",19810809,",,0",2.2,"1,0,27,+",0,",,0,31,+",0,",,0,31,+",0,",T,0,02,",35.6,",0,09,",180.1,0,68.4,",0",0,",T,,0",0,",,,0",16.8,"1,0",28.33,",,,0",5.27,"1,,,0"
USC00351574,1981-09,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",29.1,0,0.8,",0",4,",0",2,",0",0,",0",0,",0",0,",0",0,",0",8,",0",0,",0",20,",0",0,",0",,,19810926,",,0",19810930,"+,,0",19810930,"+,,0",,,19810928,",,0",19810917,"+,,0",-5,",0,26,",0,",,0,30,+",0,",,0,30,+",9.4,",,0,28,",31.1,",0,17,+",347.3,0,167.2,",0",16.1,",,,0",0,",,,0",12.79,",0",23.29,",,,0",2.28,",,,0"
USC00351574,1981-10,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",29.1,0,0,",0",11,",0",5,",0",0,",0",0,",0",0,",0",0,",0",26,",0",0,",0",3,",0",0,",0",,,19811012,",,0",19811029,",,0",19811029,",,0",,,19811010,",,0",19811018,",,0",-6.1,",0,12,",0,",T,0,29,",0,",T,0,29,",17,",,0,10,",22.2,",0,18,",727.7,0,380.4,",0",52.4,",,,0",0,",T,,0",6.06,",0",14,",,,0",-1.87,",,,0"
USC00351574,1981-11,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",29.1,0,0,",0",16,",0",12,",0",1,",0",0,",0",4,",0",0,",0",22,",0",2,",0",0,",0",0,",0",,,19811129,",,0",19811130,"+,,0",19811126,"+,,0",,,19811115,",,0",19811103,",,0",-9.4,",0,29,",0,",,0,30,+",51,",,0,26,+",27.7,",,0,15,",15,",0,03,",1193.2,0,465.5,",0",135.1,",,,0",178,",,,0",2.82,",0",7.78,",,,0",-2.14,",,,0"
USC00351574,1981-12,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",29.1,0,0,",0",23,",0",16,",0",2,",0",10,",0",7,",0",0,",0",25,",0",3,",0",0,",0",0,",0",,,19811231,",,0",19811231,",,0",19811229,",,0",,,19811219,",,0",19811210,",,0",-8.9,",0,31,",330,",,0,31,",229,",,0,29,",35.1,",,0,19,",10.6,",0,10,",1724.7,0,531.5,",0",214.5,",,,0",687,",,,0",1.19,",0",4.75,",,,0",-2.37,",,,0"
USC00351574,1982-01,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",0,0,0,"2,0",15,",0",11,",0",0,",0",,,10,",0",3,"2,0",28,"2,0",18,",0",0,",0",0,",0",3,,19820108,",2,0",,,19820101,",,0",,,19820101,",,0",19820117,",,0",-20.6,"2,0,08,",,,241,",,0,01,",19.3,",,0,01,",8.3,",0,17,",2406.7,0,682,",0",88.4,",,,0",1084,",,,0",-5.2,"2,0",0.03,",,,0",-10.43,"2,,,0"
USC00351574,1982-02,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",0,0,0,"1,0",10,",0",8,",0",1,",0",,,0,"1,0",1,"1,0",22,"1,0",5,",0",0,",0",0,",0",1,,19820206,",1,0",,,19820227,",1,0",,,19820214,",,0",19820221,",,0",-17.8,"1,0,06,",,,20,"1,,0,27,",43.9,",,0,14,",14.4,",0,21,",2955.2,0,548.5,",0",121.7,",,,0",46,"1,,,0",-1.96,"1,0",3.73,",,,0",-7.64,"1,,,0"
USC00351574,1982-03,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",0,0,0,"1,0",16,",0",8,",0",0,",0",6,",0",5,",0",0,"1,0",28,"1,0",0,",0",0,",0",0,",0",,,19820306,",1,0",19820331,",,0",19820331,",,0",,,19820331,",,0",19820325,",,0",-6.7,"1,0,06,",178,",,0,31,",231,",,0,31,",16.5,",,0,31,",15.6,",0,25,",3447.7,0,492.5,",0",67.9,",,,0",420,",,,0",2.04,"1,0",7.37,",,,0",-3.28,"1,,,0"
USC00351574,1982-04,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",0,0,0,"1,0",10,",0",8,",0",0,",0",9,",0",6,",0",0,"1,0",27,"1,0",0,",0",0,",0",0,",0",,,19820401,",1,0",19820403,"+,,0",19820401,",,0",,,19820411,",,0",19820423,",,0",-11.1,"1,0,01,",178,",,0,03,+",127,",,0,01,",23.4,",,0,11,",20.6,",0,23,",3880.6,0,432.9,",0",50.6,",,,0",377,",,,0",3.52,"1,0",10.43,",,,0",-3.38,"1,,,0"
USC00351574,1982-05,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",0,0,0,"1,0",3,",0",1,",0",0,",0",0,",0",0,",0",0,"1,0",23,"1,0",0,",0",8,",0",0,",0",,,19820510,"+,1,0",19820531,"+,,0",19820531,"+,,0",,,19820517,",,0",19820525,",,0",-5,"1,0,10,+",0,",,0,31,+",0,",,0,31,+",3,",,0,17,",27.8,",0,25,",4176.8,0,296.2,",0",4.1,",,,0",0,",,,0",8.56,"1,0",18.03,",,,0",-0.91,"1,,,0"
USC00351574,1982-06,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",3.6,0,3.6,"1,0",11,",0",4,",0",0,",0",0,",0",0,",0",0,"1,0",6,"1,0",0,",0",15,",0",0,",0",,,19820606,",1,0",19820630,"+,,0",19820630,"+,,0",1,,19820629,",,0",19820618,",,0",-3.3,"1,0,06,",0,",,0,30,+",0,",,0,30,+",14,",,0,29,",30,",0,18,",4329.5,0,152.7,",0",34.4,",,,0",0,",,,0",13.08,"1,0",21.53,",,,0",4.62,"1,,,0"
USC00351574,1982-07,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",10,0,6.4,"1,0",4,",0",3,",0",0,",0",0,",0",0,",0",0,"1,0",0,"1,0",0,",0",25,",0",0,",0",,,19820716,"+,1,0",19820731,"+,,0",19820731,"+,,0",,,19820702,",,0",19820730,",,0",1.7,"1,0,16,+",0,",,0,31,+",0,",,0,31,+",8.1,",,0,02,",31.7,",0,30,",99.3,0,99.3,",0",20.3,",,,0",0,",,,0",15.21,"1,0",24.65,",,,0",5.76,"1,,,0"
USC00351574,1982-08,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",12,0,2,"2,0",3,",0",1,",0",0,",0",0,",0",0,",0",0,"2,0",0,"2,0",0,",0",27,",0",0,",0",,,19820803,"+,2,0",19820831,"+,,0",19820831,"+,,0",1,,19820829,",,0",19820825,",,0",1.1,"2,0,03,+",0,",,0,31,+",0,",,0,31,+",8.4,",,0,29,",31.1,",0,25,",189.2,0,89.9,",0",10.4,",,,0",0,",,,0",15.37,"2,0",25.73,",,,0",5.01,"2,,,0"
USC00351574,1982-09,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",12,0,0,"2,0",9,",0",3,",0",0,",0",0,",0",0,",0",0,"2,0",7,"2,0",0,",0",11,",0",0,",0",,,19820929,"+,2,0",19820930,"+,,0",19820930,"+,,0",,,19820924,",,0",19820909,",,0",-2.2,"2,0,29,+",0,",,0,30,+",0,",,0,30,+",6.1,",,0,24,",27.2,",0,09,",410,0,220.8,",0",21.2,",,,0",0,",,,0",10.49,"2,0",19.15,",,,0",1.83,"2,,,0"
USC00351574,1982-10,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",12,0,0,"2,0",10,",0",5,",0",0,",0",0,",0",0,",0",0,"2,0",18,"2,0",0,",0",2,",0",0,",0",,,19821018,",2,0",19821031,"+,,0",19821031,"+,,0",,,19821030,",,0",19821013,",,0",-6.1,"2,0,18,",0,",,0,31,+",0,",,0,31,+",21.8,",,0,30,",23.3,",0,13,",743,0,333,",0",64.2,",,,0",0,",,,0",6.93,"2,0",14.27,",,,0",-0.42,"2,,,0"
USC00351574,1982-11,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",12,0,0,"4,0",12,",0",8,",0",0,",0",11,"2,0",2,"1,0",0,"4,0",25,"4,0",2,",0",0,",0",0,",0",,,19821125,"+,4,0",19821122,",2,0",19821121,",1,0",,,19821129,",,0",19821105,",,0",-11.7,"4,0,25,+",127,"2,,0,22,",64,"1,,0,21,",14,",,0,29,",13.3,",0,05,",1210.5,0,467.5,",0",64.7,",,,0",169,"1,,,0",0.32,"4,0",5.73,",,,0",-5.08,"4,,,0"
USC00351574,1982-12,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",12,0,0,"1,0",18,",0",14,",0",2,",0",18,"4,0",6,"2,0",1,"1,0",28,"1,0",7,",0",0,",0",0,",0",,,19821231,",1,0",19821229,",4,0",19821215,",2,0",,,19821217,",,0",19821205,",,0",-17.8,"1,0,31,",305,"4,,0,29,",152,"2,,0,15,",30.2,",,0,17,",11.1,",0,05,",1821.4,0,610.9,",0",157.4,",,,0",388,"2,,,0",-2.13,"1,0",1.85,",,,0",-6.11,"1,,,0"
USC00351574,1983-01,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",0,0,0,"3,0",17,",0",7,",0",0,",0",31,",0",3,",0",0,"3,0",25,"3,0",1,",0",0,",0",0,",0",,,19830101,",3,0",19830103,"+,,0",19830122,",,0",,,19830127,",,0",19830102,",,0",-17.2,"3,0,01,",279,",,0,03,+",51,",,0,22,",11.7,",,0,27,",12.8,",0,02,",2325.7,0,504.3,",0",51.4,",,,0",117,",,,0",0.36,"3,0",4.6,",,,0",-3.87,"3,,,0"
USC00351574,1983-02,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",0,0,0,"3,0",21,",0",16,",0",1,",0",,,5,"2,0",0,"2,0",22,"2,0",0,"1,0",0,"1,0",0,"1,0",,,19830204,",2,0",,,19830215,",2,0",,,19830218,",,0",19830224,",1,0",-9.4,"2,0,04,",,,102,"2,,0,15,",25.4,",,0,18,",10,"1,0,24,",2761,0,435.3,"1,0",141.9,",,,0",342,"2,,,0",1.05,"3,0",4.73,"1,,,0",-2.63,"2,,,0"
USC00351574,1983-03,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",0,0,0,",0",25,"2,0",14,"2,0",1,"2,0",2,",0",3,",0",0,",0",18,",0",0,",0",0,",0",0,",0",,,19830316,"+,,0",19830327,",,0",19830327,",,0",,,19830330,",2,0",19830311,",,0",-5,",0,16,+",51,",,0,27,",43,",,0,27,",42.9,"2,,0,30,",13.3,",0,11,",3222,0,461,",0",137.7,",a,,0",137,",,,0",3.46,",0",7.53,",,,0",-0.61,",,,0"
USC00351574,1983-04,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",0,0,0,",0",10,",0",5,",0",0,",0",4,",0",2,",0",0,",0",20,",0",0,",0",0,",0",0,",0",,,19830412,",,0",19830426,"+,,0",19830402,",,0",,,19830429,",,0",19830417,",,0",-6.7,",0,12,",25,",,0,26,+",127,",,0,02,",5.8,",,0,29,",17.2,",0,17,",3640.1,0,418.1,",0",24.5,",,,0",178,",,,0",4.4,",0",10.45,",,,0",-1.66,",,,0"
USC00351574,1983-05,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",2.5,0,2.5,",0",8,",0",2,",0",0,",0",1,",0",1,",0",0,",0",14,",0",0,",0",12,",0",0,",0",,,19830510,",,0",19830509,",,0",19830509,",,0",,,19830509,",,0",19830529,",,0",-6.1,",0,10,",25,",,0,09,",25,",,0,09,",6.4,",,0,09,",31.1,",0,29,",3912.9,0,272.8,",0",16.9,",,,0",25,",,,0",9.61,",0",18.48,",,,0",0.75,",,,0"
USC00351574,1983-06,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",2.5,0,0,"1,0",3,",0",1,",0",0,",0",0,",0",0,",0",0,",0",6,",0",0,"1,0",16,"1,0",0,"1,0",,,19830624,"+,,0",19830630,"+,,0",19830630,"+,,0",,,19830611,",,0",19830608,",1,0",-1.7,",0,24,+",0,",,0,30,+",0,",,0,30,+",3,",,0,11,",26.7,"1,0,08,",4116.4,0,203.5,"1,0",4.6,",,,0",0,",,,0",11.34,"1,0",20.21,"1,,,0",2.47,",,,0"
USC00351574,1983-07,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",5,0,2.5,"2,0",6,",0",3,",0",0,",0",0,",0",0,",0",0,"2,0",1,"2,0",0,",0",18,",0",1,",0",,,19830715,",2,0",19830731,"+,,0",19830731,"+,,0",4,,19830717,",,0",19830731,",,0",0,"2,0,15,",0,",,0,31,+",0,",,0,31,+",5.1,",,0,17,",32.8,",0,31,",152.9,0,152.9,",0",15.4,",,,0",0,",,,0",13.21,"2,0",22.79,",,,0",3.63,"2,,,0"
USC00351574,1983-08,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",8,0,3,"1,0",8,",0",5,",0",0,",0",0,",0",0,",0",0,"1,0",0,"1,0",0,",0",26,",0",1,",0",,,19830816,"+,1,0",19830831,"+,,0",19830831,"+,,0",,,19830823,",,0",19830807,",,0",2.2,"1,0,16,+",0,",,0,31,+",0,",,0,31,+",16,",,0,23,",32.2,",0,07,",237.8,0,84.9,",0",49.4,",,,0",0,",,,0",15.67,"1,0",25.19,",,,0",6.14,"1,,,0"
USC00351574,1983-09,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",8,0,0,",0",4,",0",2,",0",0,",0",0,",0",0,",0",0,",0",9,",0",0,",0",18,",0",0,",0",,,19830920,"+,,0",19830930,"+,,0",19830930,"+,,0",,,19830923,"+,,0",19830913,",,0",-2.8,",0,20,+",0,",,0,30,+",0,",,0,30,+",2.8,",,0,23,+",27.8,",0,13,",446.9,0,209.1,",0",6.9,",,,0",0,",,,0",11.36,",0",21.59,",,,0",1.13,",,,0"
USC00351574,1983-10,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",8,0,0,"2,0",5,",0",4,",0",0,",0",0,",0",0,",0",0,"1,0",25,"1,0",0,"1,0",4,"1,0",0,"1,0",,,19831024,"+,1,0",19831031,"+,,0",19831031,"+,,0",,,19831023,",,0",19831006,"+,1,0",-3.9,"1,0,24,+",0,",,0,31,+",0,",,0,31,+",4.8,",,0,23,",22.2,"1,0,06,+",753.5,0,306.6,"1,0",17,",,,0",0,",,,0",7.88,"2,0",16.76,"1,,,0",-1,"1,,,0"
USC00351574,1983-11,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",8,0,0,"2,0",20,",0",15,",0",0,",0",12,",0",5,",0",0,"2,0",21,"2,0",3,",0",0,",0",0,",0",,,19831126,",2,0",19831130,"+,,0",19831123,",,0",,,19831119,",,0",19831111,",,0",-11.7,"2,0,26,",178,",,0,30,+",114,",,0,23,",15.2,",,0,19,",16.1,",0,11,",1204.3,0,450.8,",0",126.9,",,,0",285,",,,0",2.11,"2,0",5.86,",,,0",-1.63,"2,,,0"
USC00351574,1983-12,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",,,,,23,",0",17,",0",1,",0",31,",0",13,",0",,,,,6,",0",0,",0",0,",0",,,,,19831227,"+,,0",19831224,"+,,0",,,19831213,",,0",19831216,"+,,0",,,584,",,0,27,+",178,",,0,24,+",33.5,",,0,13,",8.9,",0,16,+",,,,,182.3,",,,0",1349,",,,0",,,1.49,",,,0",,
USC00351574,1984-01,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",0,0,0,"2,0",3,",0",0,",0",0,",0",31,",",,,0,"2,0",29,"2,0",8,",0",0,",0",0,",0",,,19840118,"+,2,0",19840101,",,0",,,,,19840124,",,0",19840126,"+,,0",-15,"2,0,18,+",457,",,0,01,",,,2.3,",,0,24,",8.3,",0,26,+",,,619.9,",0",4.6,",,,0",,,-3.12,"2,0",2.26,",,,0",-8.5,"2,,,0"
USC00351574,1984-02,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",0,0,0,"1,0",12,",0",10,",0",0,",0",29,",0",5,",0",0,"1,0",26,"1,0",0,",0",0,",0",0,",0",,,19840218,",1,0",19840226,"+,,0",19840215,",,0",,,19840215,",,0",19840205,",,0",-15,"1,0,18,",406,",,0,26,+",152,",,0,15,",12.7,",,0,15,",11.1,",0,05,",,,542.2,",0",67.3,",,,0",437,",,,0",-1.04,"1,0",4.56,",,,0",-6.65,"1,,,0"
USC00351574,1984-03,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",0,0,0,",0",12,",0",6,",0",0,",0",17,",0",1,",0",0,",0",25,",0",0,",0",0,",0",0,",0",,,19840303,",,0",19840302,"+,,0",19840331,",,0",,,19840326,",,0",19840324,",,0",-6.1,",0,03,",330,",,0,02,+",25,",,0,31,",12.4,",,0,26,",13.9,",0,24,",,,456.3,",0",46.7,",,,0",25,",,,0",3.61,",0",9.47,",,,0",-2.24,",,,0"
USC00351574,1984-04,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",0,0,0,"2,0",11,",0",5,",0",0,",0",,,0,"1,0",0,"2,0",22,"2,0",0,",0",3,",0",0,",0",,,19840427,",2,0",,,19840411,",1,0",,,19840410,",,0",19840415,",,0",-6.1,"2,0,27,",,,13,"1,,0,11,",12.2,",,0,10,",23.3,",0,15,",,,378.5,",0",43.1,",,,0",16,"1,,,0",4.76,"2,0",11.3,",,,0",-1.78,"2,,,0"
USC00351574,1984-05,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",0.3,0,0.3,",0",7,",0",5,",0",0,",0",0,",0",0,",0",0,",0",10,",0",0,",0",9,",0",0,",0",,,19840516,",,0",19840505,",,0",19840505,",,0",,,19840511,"+,,0",19840530,"+,,0",-5,",0,16,",0,",T,0,05,",13,",,0,05,",9.4,",,0,11,+",30.6,",0,30,+",,,277.9,",0",32.6,",,,0",13,",,,0",9.38,",0",17.77,",,,0",0.99,",,,0"
